"","genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2106","AT3G53490",142.618100457603,0.555721591221534,0.175642529447556,3.16393525514254,0.00155651417432333,0.00771448159983199
"2107","AT3G48250",208.730968047467,0.555403789290803,0.142584088984224,3.89527185850488,9.80886501719127e-05,0.000746906854701905
"2108","AT4G14170",70.3267929019284,0.555398426594162,0.178033612005621,3.11962679595932,0.00181080306757601,0.00874748888486194
"2109","AT1G60010",1600.61278387426,0.555313742271232,0.108350375701534,5.12516674423832,2.97274539431973e-07,4.59893124887734e-06
"2110","AT1G12211",139.780354150178,0.554920174560783,0.168456229864611,3.2941505042988,0.000987196248453151,0.00530903774706988
"2111","AT1G51700",946.122838543724,0.55445157003325,0.177117361381428,3.13041909448515,0.00174557074815077,0.00849177987064511
"2112","AT1G63250",185.711428887391,0.554025593108598,0.131015289923395,4.22870943866582,2.35035656734471e-05,0.000216168284603669
"2113","AT1G78280",890.116351441671,0.553603511653166,0.123838842919219,4.47035436219545,7.80901042290673e-06,8.30588305888578e-05
"2114","AT1G50740",336.886834609626,0.553027121402446,0.111900836538941,4.94211784743891,7.7278478151502e-07,1.08918999284085e-05
"2115","AT3G19553",906.424493294614,0.55283930653197,0.136267148354821,4.05702557958027,4.97016403457718e-05,0.000411891367854906
"2116","AT3G18295",288.274242200873,0.552558556613506,0.135827432163188,4.06809248922296,4.73995682350778e-05,0.000396173226592046
"2117","AT4G30600",3086.23833891144,0.551868836533716,0.099514749199483,5.54559842609323,2.92950483202419e-08,5.75906762996341e-07
"2118","AT3G50910",769.807057147198,0.55184229594527,0.179108104371666,3.08105709611077,0.00206267091679641,0.0097590923969389
"2119","AT4G04670",302.215987293235,0.551806786840422,0.117475948960473,4.69718943939824,2.63765795354322e-06,3.18500991723791e-05
"2120","AT3G04670",363.869834314175,0.551386238946208,0.154390391300014,3.5713766530635,0.00035510977968656,0.00223144204125061
"2121","AT5G62520",568.114993657245,0.55100222023513,0.136786161933875,4.02820148211699,5.62051674052205e-05,0.000457542447467767
"2122","AT3G03860",828.734180920217,0.550907283136733,0.11051288635003,4.98500492867259,6.19602334561829e-07,8.94248218614066e-06
"2123","AT4G08230",826.923410986352,0.550823976245619,0.110799507422082,4.97135762659393,6.6485679288536e-07,9.5486138172323e-06
"2124","AT1G20490",408.534543936583,0.550411294792165,0.136987568478552,4.0179652862321,5.87028424521094e-05,0.000475728322055744
"2125","AT1G12210",139.509131907202,0.550197196889986,0.16799902566786,3.27500230851187,0.00105661110187525,0.00561538639752553
"2126","AT3G46930",149.737545281664,0.549646042226503,0.158315220240112,3.47184586164787,0.000516893027478568,0.003065156048914
"2127","AT2G44200",628.867688919018,0.548107060827087,0.104043202543643,5.26807179543681,1.37864190721104e-07,2.29314103899437e-06
"2128","AT3G51150",1353.39707920607,0.547060971914483,0.116306019716071,4.70363419924422,2.55570974467797e-06,3.10839845282242e-05
"2129","AT3G48690",3722.34611143766,0.547014240958027,0.133041802811192,4.11159672673956,3.92932191651743e-05,0.000334134832879199
"2130","AT2G39250",1660.52039508331,0.546904704994205,0.139407717353383,3.92305903415564,8.74317168613871e-05,0.000675407132921644
"2131","AT5G17190",783.834944683133,0.546839898265299,0.119554875517974,4.57396568643564,4.78578251947422e-06,5.39101620697546e-05
"2132","AT5G43780",1591.15291194003,0.54583799093935,0.131285738178005,4.15763355955138,3.21561280575754e-05,0.000282139046514895
"2133","AT5G22860",1832.39369032822,0.545802892028546,0.123135532051176,4.43253773250201,9.3130397736139e-06,9.71613531185795e-05
"2134","AT1G75670",213.03014376537,0.545215911455668,0.167576166728393,3.25354089486576,0.0011397631868506,0.00598273635210542
"2135","AT1G74920",4036.02000542296,0.545214069465555,0.127020353773744,4.29233625373712,1.76802928850236e-05,0.000169247309809167
"2136","AT5G56630",1356.72935636624,0.545208450475967,0.14934429206181,3.65068154228698,0.000261545366700337,0.00171581076509734
"2137","AT1G74090",3980.44949364864,0.545080865798775,0.0867555332249476,6.28295217073291,3.32203291622875e-10,9.57145429782713e-09
"2138","AT1G10700",919.038626606343,0.544888570576221,0.133697006299571,4.07554802951462,4.59061056353563e-05,0.000384512819809289
"2139","AT5G22100",275.192969687803,0.54449315320383,0.152503109791926,3.57037409890679,0.000356471760122566,0.00223717746592308
"2140","AT5G67500",2467.46551490251,0.544153980670237,0.132880075250141,4.09507580158945,4.2203028470936e-05,0.000356219827096625
"2141","AT2G26800",1984.32427747367,0.544096646741397,0.126533153067632,4.30003231208962,1.70773208095189e-05,0.000163943677832847
"2142","AT1G70480",847.834245015868,0.544030710855599,0.125452955525455,4.33653163910684,1.44748599890475e-05,0.000141744839800889
"2143","AT5G51040",1202.50695209283,0.542758316297234,0.121745520264898,4.45813788561814,8.26747166935588e-06,8.72231277829076e-05
"2144","AT2G21500",384.922027901591,0.542383675733499,0.109571738509061,4.95003258243135,7.42010582559234e-07,1.05460240917921e-05
"2145","AT2G30550",546.1937631357,0.541928650263426,0.15532775564212,3.4889363335169,0.000484946637626031,0.00290213153667856
"2146","AT1G26660",152.633219847577,0.541852285353859,0.139992674445271,3.87057599621536,0.000108578501120472,0.000813835598203396
"2147","AT2G22080",2265.36592414837,0.541846277662114,0.129410836631539,4.18702399092641,2.82635960591292e-05,0.000252424264422985
"2148","AT4G04925",317.759454979946,0.541553233903159,0.150583850770776,3.59635665531976,0.000322705278400634,0.0020543992655619
"2149","AT2G26540",1883.91737771497,0.541549910220507,0.0740651880431464,7.31180092198009,2.63585437592418e-13,1.23885155668437e-11
"2150","AT2G27260",480.487668808231,0.541440919751349,0.130219743420749,4.15790190894413,3.21183874158017e-05,0.000282124546839999
"2151","AT1G75270",731.788101985512,0.540977958065433,0.158114626119985,3.42142894266413,0.000622930004072751,0.00358869500995289
"2152","AT1G53560",888.725726649251,0.54014081342375,0.173333243845732,3.1161986093359,0.0018319884159129,0.00883157745496511
"2153","AT3G55410",3632.99473628161,0.539775402566547,0.112329197176407,4.80529921102222,1.54520242940838e-06,2.01892103492561e-05
"2154","AT5G22650",3465.32729667591,0.539507609558437,0.121229734544563,4.45029110708905,8.57539696842857e-06,9.01069825719333e-05
"2155","AT4G18840",244.129125925114,0.538908503283791,0.118496313106775,4.5478925812501,5.41857787108162e-06,6.00576119142142e-05
"2156","AT3G26910",301.578357693212,0.538658303354494,0.160946598125415,3.34681384775064,0.000817460849862282,0.00451954486370111
"2157","AT1G75300",539.305757236206,0.538643947554572,0.128099026354236,4.20490274504542,2.61194446088196e-05,0.000236425833427498
"2158","AT5G24210",1448.68616149346,0.538087147774657,0.126898010980901,4.24031191360155,2.23209401459869e-05,0.00020642468818763
"2159","AT4G27780",258.994528386524,0.537251489851301,0.164647524374704,3.26304019384238,0.00110223885954889,0.00581570483082118
"2160","AT4G30440",2148.95486846636,0.536783377531476,0.0789817406524466,6.79629713269492,1.07342278040481e-11,4.0409284861692e-10
"2161","AT2G18220",555.27317418618,0.536365304404442,0.118789307244018,4.51526586734475,6.32373788826275e-06,6.87578232236562e-05
"2162","AT1G23820",2741.19110034076,0.536089086632928,0.121621032679187,4.40786494591796,1.04394603986166e-05,0.000107196438147441
"2163","AT3G07890",1011.96250618909,0.536038863426907,0.129670739366978,4.13384597052292,3.56742609029374e-05,0.000308165171623054
"2164","AT5G45750",765.92566767635,0.535994660342409,0.143729707792341,3.72918493034722,0.000192100135453572,0.00132004819126652
"2165","AT1G31540",1162.4472913074,0.535707502325187,0.131455687350158,4.07519456269873,4.59758912583984e-05,0.000384959863507039
"2166","AT5G37590",399.269853429105,0.535232519418019,0.0913362498430723,5.86002294092016,4.62803230563425e-09,1.05687674453788e-07
"2167","AT3G50920",352.041140951611,0.53517145019933,0.10865630580469,4.92536025623126,8.42050711046819e-07,1.17703766025356e-05
"2168","AT5G35480",998.910036733247,0.535156464238334,0.154677428239247,3.45982261491045,0.000540531339193381,0.0031835934236728
"2169","AT3G54740",247.957579123832,0.534783238983541,0.114034558406331,4.68965940200325,2.73660180148201e-06,3.28462241812475e-05
"2170","AT4G17940",1503.31617819953,0.534504019358022,0.107210286160441,4.98556657668212,6.17805003972834e-07,8.92203248656089e-06
"2171","AT4G29960",577.772899121058,0.53377773798254,0.109345332077783,4.88157773029429,1.05240424372639e-06,1.44170775281045e-05
"2172","AT5G22390",759.39859374447,0.533474945415214,0.154930855679958,3.44330987571137,0.000574640476117396,0.00335249828019435
"2173","AT5G52850",118.378171528339,0.533471999277909,0.14838473565015,3.59519459289725,0.000324149195754941,0.00206247180901807
"2174","AT4G12000",502.056109705485,0.532253527358171,0.104458968838579,5.09533583641503,3.4812357261065e-07,5.28449329995959e-06
"2175","AT2G31090",201.301175205034,0.531762428295905,0.134385425551269,3.95699478655915,7.58985866138709e-05,0.00059593222358725
"2176","AT5G62900",164.238294701079,0.53174192060449,0.170669150911376,3.1156299645541,0.00183552444297129,0.00884498762297222
"2177","AT5G16350",230.496782234701,0.530311731607971,0.117834274905454,4.50048792707788,6.7797655611936e-06,7.32071094413782e-05
"2178","AT5G22400",357.14585887752,0.530098522312339,0.123098848032758,4.30628337132185,1.66020356560488e-05,0.000160167643867261
"2179","AT1G33560",309.142382801647,0.52956119086069,0.157890544628991,3.35397659248719,0.000796591011634365,0.00441874384954133
"2180","AT2G33480",194.259284568423,0.528772405262632,0.171536246649314,3.08256951863734,0.00205221789824817,0.0097202299883671
"2181","AT3G26782",130.469661780026,0.528727605561752,0.147176894328127,3.59246339566704,0.000327566678595938,0.00207710012457583
"2182","AT1G71528",272.599537178898,0.528658205565721,0.12058985117844,4.38393613060731,1.16553958119028e-05,0.000117774234371632
